comunas,homicidios,violaciones,psupond,x,OK,COD_COMUNA,distrito,Cook
San Clemente,2.554669937,17.88268956,463.9058,San Clemente,1,7109,17,-3.34
San Esteban,0,0,485.9402,San Esteban,1,5304,6,-2.38
San Fabián,0,85.9352621,447.7019,San Fabián,1,8417,19,-1.05
San Felipe,2.545338848,11.45402482,487.2034,San Felipe,1,5701,6,-2.38
San Fernando,1.351460929,18.92045301,513.6807,San Fernando,1,6301,16,-1.8
San Gregorio,0,289.4356006,           ,San Gregorio,1,12104,28,-6.355
San Ignacio,0,32.17503218,438.5173,San Ignacio,1,8418,19,-1.05
San Javier,0,21.99789798,471.3385,San Javier,1,7406,18,0.165
San Joaquín,5.311732289,22.57486223,494.4117,San Joaquín,1,13129,10,4.74
San José De Maipo,6.918021446,27.67208578,473.2423,San José de Maipo,1,13203,12,4.35
San Juan De La Costa,0,13.02592158,438.7391,San Juan de la Costa,1,10306,25,-4.47
San Miguel,1.429408654,14.29408654,537.9424,San Miguel,1,13130,13,-11.78
San Nicolás,0,39.74957766,494.6281,San Nicolás,1,8419,19,-1.05
San Pablo,0,34.27787934,482.106,San Pablo,1,10307,25,-4.47
San Pedro,0,0,431.8958,San Pedro,1,13505,14,1.735
San Pedro De Atacama,0,0,469.5,San Pedro de Atacama,1,2203,3,0.96
San Pedro De La Paz,2.020753135,14.14527194,526.1342,San Pedro de la Paz,1,8108,20,-5.985
San Rafael,0,11.76193837,454.0428,San Rafael,1,7110,17,-3.34
San Ramón,1.210946961,24.21893921,475.2695,San Ramón,1,13131,13,-11.78
San Rosendo,0,0,493.942,San Rosendo,1,8310,21,-3.985
San Vicente,0,12.57439852,512.237,San Vicente,1,6117,16,-1.8
Santa Bárbara,0,26.77555392,459.8683,Santa Bárbara,1,8311,21,-3.985
Santa Cruz,0,5.406135964,513.7761,Santa Cruz,1,6310,16,-1.8
Santa Juana,0,14.86104919,468.9018,Santa Juana,1,8109,20,-5.985
Santa María,0,20.4359673,453.0172,Santa María,1,5706,6,-2.38
Santiago,1.250633133,51.90127502,524.8123,Santiago,1,13101,10,4.74
Santo Domingo,0,10.86366105,487.6482,Santo Domingo,1,5606,7,3.85
Sierra Gorda,0,0,510.6667,Sierra Gorda,1,2103,3,0.96
Talagante,1.267635986,12.67635986,495.5631,Talagante,1,13601,14,1.735
Talca,0.4000112,12.80035841,502.7239,Talca,1,7101,17,-3.34
Talcahuano,0,17.49648612,501.187,Talcahuano,1,8110,20,-5.985
Taltal,9.513842641,28.54152792,442.1084,Taltal,1,2104,3,0.96
Temuco,0.953388821,17.16099877,508.8044,Temuco,1,9101,23,4.61
Teno,0,10.72731174,499.0588,Teno,1,7308,17,-3.34
Teodoro Schmidt,0,12.667849,461.4083,Teodoro Schmidt,1,9117,23,4.61
Tierra Amarilla,0,21.50845999,451.9815,Tierra Amarilla,1,3103,4,-6.75
Tiltil,0,30.47851265,428.2337,Tiltil,1,13303,8,-2.565
Timaukel,0,0,,Timaukel,1,12303,28,-6.355
Tirúa,0,35.82945181,462.4405,Tirúa,1,8207,21,-3.985
Tocopilla,0,4.756016361,458.6512,Tocopilla,1,2301,3,0.96
Toltén,0,29.8388701,479.0743,Toltén,1,9118,23,4.61
Tomé,0,12.40562861,482.584,Tomé,1,8111,20,-5.985
Torres Del Paine,0,0,324,Torres del Paine,1,12402,28,-6.355
Tortel,0,0,493.5,Tortel,1,11303,27,-3.075
Traiguén,0,33.69461448,467.0062,Traiguén,1,9210,22,-2.285
Treguaco,0,41.02564103,446.7885,Treguaco,1,8420,19,-1.05
Tucapel,0,7.364312541,464.6111,Tucapel,1,8312,21,-3.985
Valdivia,0,14.71056954,503.5785,Valdivia,1,14101,24,-0.855
Vallenar,0,6.492522778,467.8998,Vallenar,1,3301,4,-6.75
Valparaíso,1.484527512,17.07206639,488.5605,Valparaíso,1,5101,7,3.85
Vichuquén,0,20.22244692,463.8241,Vichuquén,1,7309,17,-3.34
Victoria,3.060256449,21.42179515,466.9082,Victoria,1,9211,22,-2.285
Vicuña,0,11.23048703,458.5891,Vicuña,1,4106,5,-7.57
Vilcún,4.167361227,25.00416736,464.1235,Vilcún,1,9119,22,-2.285
Villa Alegre,0,6.866717023,470.4362,Villa Alegre,1,7407,18,0.165
Villa Alemana,0,11.08090538,508.3814,Villa Alemana,1,5804,6,-2.38
Villarrica,1.680163984,11.76114789,491.3656,Villarrica,1,9120,23,4.61
Viña Del Mar,1.034596921,13.44975997,517.3813,Viña del Mar,1,5109,7,3.85
Vitacura,0,2.532799757,628.4205,Vitacura,1,13132,11,28.29
Yerbas Buenas,0,11.65637021,448.7181,Yerbas Buenas,1,7408,18,0.165
Yumbel,0,9.780907668,464.4076,Yumbel,1,8313,19,-1.05
Yungay,0,16.13076675,483.8045,Yungay,1,8421,19,-1.05
Zapallar,0,13.6369835,457.0977,Zapallar,1,5405,6,-2.38
